"DEM Rep. to Congress 1st Choice District 2","DEM Rep. to Congress 2nd Choice District 2","DEM Rep. to Congress 3rd Choice District 2","DEM Rep. to Congress 4th Choice District 2","DEM Rep. to Congress 5th Choice District 2"
"St. Clair, Lucas R.","Golden, Jared F.","Fulford, Jonathan S.",NA,"Golden, Jared F."
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.",NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Fulford, Jonathan S.","Olson, Craig R.",NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.",NA,NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Fulford, Jonathan S.","Olson, Craig R.",NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"Olson, Craig R.","Fulford, Jonathan S.","St. Clair, Lucas R.","Fulford, Jonathan S.","Golden, Jared F."
"St. Clair, Lucas R.",NA,"Golden, Jared F.","Olson, Craig R.",NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,"Olson, Craig R.","Fulford, Jonathan S."
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"Olson, Craig R.","St. Clair, Lucas R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"Olson, Craig R.","St. Clair, Lucas R.",NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"Olson, Craig R.","St. Clair, Lucas R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"Olson, Craig R.","Fulford, Jonathan S.","St. Clair, Lucas R.","Golden, Jared F.",NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.",NA,NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Olson, Craig R.","Fulford, Jonathan S.","Golden, Jared F.",NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.",NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Fulford, Jonathan S.","Olson, Craig R.",NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.",NA,NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.","Olson, Craig R.",NA,NA,NA
"St. Clair, Lucas R.","Olson, Craig R.",NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.",NA,NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Fulford, Jonathan S.","Golden, Jared F.","Olson, Craig R.",NA
"Olson, Craig R.","St. Clair, Lucas R.","Golden, Jared F.",NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Olson, Craig R.",NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.",NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.",NA,NA
"St. Clair, Lucas R.","Olson, Craig R.","Fulford, Jonathan S.","Golden, Jared F.",NA
"Olson, Craig R.","St. Clair, Lucas R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"Olson, Craig R.","St. Clair, Lucas R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.",NA,NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"Fulford, Jonathan S.","Olson, Craig R.","St. Clair, Lucas R.",NA,"Golden, Jared F."
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.","Fulford, Jonathan S."
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Fulford, Jonathan S.",NA,NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"Olson, Craig R.","St. Clair, Lucas R.","Golden, Jared F.",NA,NA
"Olson, Craig R.","St. Clair, Lucas R.","Fulford, Jonathan S.","St. Clair, Lucas R.",NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"Olson, Craig R.","Fulford, Jonathan S.","St. Clair, Lucas R.","Golden, Jared F.",NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Fulford, Jonathan S.","Olson, Craig R.",NA
"Olson, Craig R.","St. Clair, Lucas R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"Olson, Craig R.","St. Clair, Lucas R.","Golden, Jared F.",NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.",NA,NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.",NA,NA
"St. Clair, Lucas R.","Fulford, Jonathan S.","Golden, Jared F.","Olson, Craig R.",NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Fulford, Jonathan S.",NA,NA
"St. Clair, Lucas R.","Olson, Craig R.","Fulford, Jonathan S.",NA,NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"Olson, Craig R.","St. Clair, Lucas R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Olson, Craig R.","Fulford, Jonathan S.","Golden, Jared F.",NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.",NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Fulford, Jonathan S.","Olson, Craig R.","Golden, Jared F.",NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Fulford, Jonathan S.","Olson, Craig R.","Golden, Jared F.",NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Fulford, Jonathan S.",NA,NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Fulford, Jonathan S.","Olson, Craig R.",NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Fulford, Jonathan S.","Olson, Craig R.",NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.","Olson, Craig R.","Fulford, Jonathan S.","Golden, Jared F.",NA
"Olson, Craig R.","St. Clair, Lucas R.","Fulford, Jonathan S.",NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Fulford, Jonathan S.",NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Fulford, Jonathan S.","Olson, Craig R.","Golden, Jared F.",NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Golden, Jared F.","Fulford, Jonathan S.","Olson, Craig R.",NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.",NA,NA
"St. Clair, Lucas R.","Fulford, Jonathan S.","Golden, Jared F.","Olson, Craig R.",NA
"St. Clair, Lucas R.","Golden, Jared F.","Fulford, Jonathan S.","Olson, Craig R.",NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Olson, Craig R.","Fulford, Jonathan S.",NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Golden, Jared F.","Fulford, Jonathan S.",NA,NA
"St. Clair, Lucas R.","Olson, Craig R.",NA,NA,NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.",NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.",NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"Fulford, Jonathan S.","St. Clair, Lucas R.","Golden, Jared F.",NA,NA
"St. Clair, Lucas R.","Fulford, Jonathan S.","Olson, Craig R.",NA,NA
"Olson, Craig R.","St. Clair, Lucas R.","Fulford, Jonathan S.","Golden, Jared F.",NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.",NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.",NA,NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.","Olson, Craig R.",NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"Olson, Craig R.","St. Clair, Lucas R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Olson, Craig R.",NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.",NA,NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.",NA,NA
"St. Clair, Lucas R.","Olson, Craig R.","Fulford, Jonathan S.","Golden, Jared F.",NA
"St. Clair, Lucas R.","Fulford, Jonathan S.","Olson, Craig R.","Golden, Jared F.",NA
"St. Clair, Lucas R.","Golden, Jared F.","Golden, Jared F.","Golden, Jared F.","Golden, Jared F."
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"Olson, Craig R.","St. Clair, Lucas R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.",NA,NA
"St. Clair, Lucas R.","Fulford, Jonathan S.","Golden, Jared F.","Olson, Craig R.",NA
"St. Clair, Lucas R.","Olson, Craig R.",NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.",NA,NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Olson, Craig R.",NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.",NA,NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"Olson, Craig R.","St. Clair, Lucas R.",NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.",NA,NA
"St. Clair, Lucas R.","Olson, Craig R.","Fulford, Jonathan S.","Golden, Jared F.",NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Fulford, Jonathan S.","Olson, Craig R.",NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.",NA,NA
"St. Clair, Lucas R.","Olson, Craig R.",NA,NA,NA
"St. Clair, Lucas R.","Olson, Craig R.","Fulford, Jonathan S.","Golden, Jared F.",NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"Olson, Craig R.","St. Clair, Lucas R.",NA,"Golden, Jared F.","Fulford, Jonathan S."
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.",NA,"Fulford, Jonathan S."
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.","Fulford, Jonathan S.",NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.",NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Fulford, Jonathan S.","Olson, Craig R.",NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"Olson, Craig R.","Fulford, Jonathan S.","St. Clair, Lucas R.",NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Fulford, Jonathan S.","Olson, Craig R.",NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.",NA,NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.",NA,NA
"St. Clair, Lucas R.","Olson, Craig R.",NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"Olson, Craig R.","St. Clair, Lucas R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"Fulford, Jonathan S.","St. Clair, Lucas R.","Olson, Craig R.",NA,"Golden, Jared F."
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.",NA,NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Olson, Craig R.","Fulford, Jonathan S.","Golden, Jared F.",NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.",NA,NA
"St. Clair, Lucas R.","Fulford, Jonathan S.","Olson, Craig R.","St. Clair, Lucas R.","Golden, Jared F."
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.",NA,NA
"St. Clair, Lucas R.","Fulford, Jonathan S.","Golden, Jared F.","Olson, Craig R.",NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.",NA,NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.","Fulford, Jonathan S.",NA,NA,NA
"Fulford, Jonathan S.",NA,NA,NA,"St. Clair, Lucas R."
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Fulford, Jonathan S.","Olson, Craig R.","Golden, Jared F.",NA
"St. Clair, Lucas R.",NA,NA,NA,"St. Clair, Lucas R."
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"Fulford, Jonathan S.","St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.",NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Olson, Craig R.",NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.","Fulford, Jonathan S.","Fulford, Jonathan S."
"St. Clair, Lucas R.","Olson, Craig R.","Fulford, Jonathan S.",NA,NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Olson, Craig R.",NA,"Golden, Jared F.","Fulford, Jonathan S."
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Fulford, Jonathan S.","Olson, Craig R.","Golden, Jared F.",NA
"St. Clair, Lucas R.","Fulford, Jonathan S.","Olson, Craig R.","Golden, Jared F.",NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Olson, Craig R.",NA,NA,NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Fulford, Jonathan S.","Olson, Craig R.","St. Clair, Lucas R.","Golden, Jared F."
"St. Clair, Lucas R.",NA,NA,NA,NA
"Olson, Craig R.","St. Clair, Lucas R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"Olson, Craig R.","St. Clair, Lucas R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Golden, Jared F.","Fulford, Jonathan S.","Olson, Craig R.",NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"Olson, Craig R.","St. Clair, Lucas R.","Golden, Jared F.","Fulford, Jonathan S.","Olson, Craig R."
"St. Clair, Lucas R.","Olson, Craig R.","Fulford, Jonathan S.","Golden, Jared F.",NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Fulford, Jonathan S.","Golden, Jared F.","Olson, Craig R.",NA
"St. Clair, Lucas R.","Olson, Craig R.","Fulford, Jonathan S.","Golden, Jared F.",NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Golden, Jared F.","Fulford, Jonathan S.",NA,"Olson, Craig R."
"St. Clair, Lucas R.","Olson, Craig R.",NA,NA,NA
"St. Clair, Lucas R.","Olson, Craig R.",NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.",NA,NA
"St. Clair, Lucas R.","Golden, Jared F.",NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Fulford, Jonathan S.","Olson, Craig R.",NA
"St. Clair, Lucas R.","Olson, Craig R.",NA,NA,NA
"Olson, Craig R.","St. Clair, Lucas R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"Olson, Craig R.","St. Clair, Lucas R.","Golden, Jared F.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.","Olson, Craig R.",NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.",NA,NA
"St. Clair, Lucas R.","Olson, Craig R.",NA,NA,NA
"Fulford, Jonathan S.","St. Clair, Lucas R.","Olson, Craig R.","Golden, Jared F.",NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","St. Clair, Lucas R.",NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.","Golden, Jared F.","Olson, Craig R.","Fulford, Jonathan S.",NA
"St. Clair, Lucas R.",NA,NA,NA,NA
"St. Clair, Lucas R.",NA,NA,NA,NA
